framework,mentions,firm_correct,firm_correct_rate,individual_scored,individual_correct,individual_correct_rate
Default Alive or Default Dead,83,58,0.6988,83,56,0.6747
Do Things That Don't Scale,63,62,0.9841,63,57,0.9048
Startup = Growth,29,27,0.931,29,29,1.0
Burn Multiple,27,19,0.7037,27,21,0.7778
The Cold Start Problem,21,20,0.9524,21,20,0.9524
The Only Thing That Matters,18,18,1.0,18,18,1.0
Every Company Will Be a Fintech Company,11,11,1.0,11,11,1.0
State of the Cloud,15,15,1.0,0,0,
Adapting to Endure,9,9,1.0,0,0,
Blitzscaling,7,5,0.7143,7,5,0.7143
Shared Earnings Agreement,7,6,0.8571,0,0,
