condition,prompt_id,prompt_type,firm,response_inclusions,eligible_responses,mention_rate,models,top_rank_count,rank_within_prompt
closed_book,discovery_capital_efficient_saas,discovery,Point Nine Capital,20,40,0.5,5,2,1
closed_book,discovery_capital_efficient_saas,discovery,TinySeed,15,40,0.375,5,6,2
closed_book,discovery_capital_efficient_saas,discovery,Calm Company Fund,11,40,0.275,3,4,3
closed_book,discovery_capital_efficient_saas,discovery,Indie.vc,9,40,0.225,4,6,4
closed_book,discovery_capital_efficient_saas,discovery,Bessemer Venture Partners,8,40,0.2,3,6,5
closed_book,discovery_climate_hardware,discovery,Breakthrough Energy Ventures,40,40,1.0,8,29,1
closed_book,discovery_climate_hardware,discovery,Lowercarbon Capital,34,40,0.85,8,5,2
closed_book,discovery_climate_hardware,discovery,Congruent Ventures,25,40,0.625,7,5,3
closed_book,discovery_climate_hardware,discovery,Prelude Ventures,16,40,0.4,5,0,4
closed_book,discovery_climate_hardware,discovery,DCVC,14,40,0.35,3,0,5
closed_book,discovery_consumer,discovery,Forerunner Ventures,35,40,0.875,7,20,1
closed_book,discovery_consumer,discovery,Andreessen Horowitz,28,40,0.7,7,13,2
closed_book,discovery_consumer,discovery,Maveron,14,40,0.35,4,0,3
closed_book,discovery_consumer,discovery,Lightspeed Venture Partners,12,40,0.3,4,0,4
closed_book,discovery_consumer,discovery,Slow Ventures,11,40,0.275,4,0,5
closed_book,discovery_dev_infra,discovery,Heavybit,33,40,0.825,7,15,1
closed_book,discovery_dev_infra,discovery,Amplify Partners,29,40,0.725,6,16,2
closed_book,discovery_dev_infra,discovery,Boldstart Ventures,16,40,0.4,5,0,3
closed_book,discovery_dev_infra,discovery,Uncork Capital,15,40,0.375,3,0,4
closed_book,discovery_dev_infra,discovery,Redpoint Ventures,14,40,0.35,5,1,5
closed_book,discovery_enterprise_ai,discovery,Bessemer Venture Partners,24,40,0.6,6,8,1
closed_book,discovery_enterprise_ai,discovery,Greylock Partners,21,40,0.525,6,1,2
closed_book,discovery_enterprise_ai,discovery,Sequoia Capital,16,40,0.4,4,8,3
closed_book,discovery_enterprise_ai,discovery,Index Ventures,15,40,0.375,3,0,4
closed_book,discovery_enterprise_ai,discovery,Andreessen Horowitz,11,40,0.275,4,5,5
closed_book,discovery_eu_biotech,discovery,Sofinnova Partners,31,40,0.775,7,24,1
closed_book,discovery_eu_biotech,discovery,Forbion,30,40,0.75,8,1,2
closed_book,discovery_eu_biotech,discovery,BioGeneration Ventures,17,40,0.425,4,3,3
closed_book,discovery_eu_biotech,discovery,Medicxi,17,40,0.425,4,4,4
closed_book,discovery_eu_biotech,discovery,Kurma Partners,16,40,0.4,4,0,5
closed_book,discovery_eu_defence,discovery,NATO Innovation Fund,25,40,0.625,5,20,1
closed_book,discovery_eu_defence,discovery,Vsquared Ventures,15,40,0.375,3,0,2
closed_book,discovery_eu_defence,discovery,MD One Ventures,11,40,0.275,3,2,3
