prompt_id,models_observed,mean_pairwise_firm_jaccard,mean_pairwise_source_domain_jaccard
discovery_capital_efficient_saas,8,0.7611,0.7611
discovery_climate_hardware,8,0.7464,0.6752
discovery_consumer,8,0.6696,0.6879
discovery_dev_infra,8,0.6762,0.6862
discovery_enterprise_ai,8,0.6095,0.6938
discovery_eu_biotech,8,0.6612,0.824
discovery_eu_defence,8,0.8903,0.9286
discovery_eu_spinout,8,0.5416,0.6458
discovery_fintech_infra,8,0.5782,0.6708
discovery_preseed_technical,8,0.635,0.703
problem_board_meeting,8,0.6631,0.7125
problem_default_alive,8,0.744,0.5821
problem_enterprise_sales,8,0.6696,0.6014
problem_first_ten_customers,8,0.3753,0.3675
problem_founder_led_sales,8,0.6211,0.7806
problem_new_market_size,8,0.4976,0.5867
problem_product_market_fit,8,0.6994,0.7415
problem_raise_or_profit,8,0.5793,0.6205
problem_replace_executive,8,0.7119,0.8018
problem_should_raise_vc,8,0.4563,0.5585
